,name,year,month,era,bs_trip,selection,complete,shut_down,win,group,count,hold,innings,loss,blame,hitter,steersman,safety,stroke2,stroke3,homer,walk,high4,dune,fan,pitching,WHIP,bit_avg,on_base_per,OPS
53,한화,21개,9월,4.92,145,26,0,0,8,13,17,3,225.0,131,123,998,853,207,36,4,16,104,3,17,197,3900,1.38,.243,.331,.682
54,KIA,21개,9월,4.58,126,28,1,0,8,18,12,5,240.0,144,122,1072,926,254,50,7,21,97,1,23,180,4087,1.46,.274,.352,.763
55,삼성,21개,9월,4.38,122,26,0,0,13,8,7,6,230.0,121,112,1009,902,250,46,4,21,86,3,7,171,3958,1.46,.277,.342,.749
56,LG,21개,9월,4.37,120,24,0,0,10,11,11,4,210.0,113,102,918,778,189,34,4,18,110,3,14,197,3542,1.42,.243,.344,.710
57,NC,21개,9월,4.35,138,28,2,0,13,15,15,6,240.0,128,116,1065,939,240,47,1,22,90,2,22,205,4184,1.38,.256,.332,.710
58,두산,21개,9월,3.29,119,27,1,1,16,8,14,4,238.0,98,87,1026,895,221,38,3,17,99,1,16,201,3965,1.35,.247,.330,.683
59,KT,21개,9월,2.82,104,26,1,1,13,9,15,4,229.2,81,72,932,850,199,32,0,11,66,3,5,170,3571,1.15,.234,.292,.602
60,NC,22개,4월,4.22,115,25,0,0,8,17,2,3,221.2,114,104,977,851,219,41,4,17,90,3,20,198,3824,1.39,.257,.340,.715
61,한화,22개,4월,4.00,126,25,0,0,9,16,15,5,216.0,113,96,959,833,210,44,1,18,92,5,15,167,3776,1.40,.252,.334,.706
62,삼성,22개,4월,3.84,112,25,0,0,10,15,9,6,218.0,113,93,958,850,226,47,1,18,72,2,13,159,3627,1.37,.266,.330,.717
63,KT,22개,4월,3.51,101,24,0,0,11,13,12,8,213.0,92,83,885,814,216,26,7,12,43,2,13,185,3332,1.22,.265,.310,.669
64,KIA,22개,4월,3.49,100,24,0,0,10,14,12,6,209.0,100,81,899,793,187,43,4,15,74,1,13,182,3427,1.25,.236,.309,.665
65,두산,22개,4월,3.46,119,24,0,0,13,11,17,10,218.2,97,84,934,809,197,33,1,11,92,2,13,170,3625,1.32,.244,.328,.656
66,LG,22개,4월,3.28,123,25,0,0,14,11,11,7,225.0,89,82,953,834,198,32,7,11,89,4,15,191,3692,1.28,.237,.320,.652
67,키움,22개,4월,3.09,111,25,0,0,14,11,20,9,227.0,91,78,940,843,195,46,2,10,73,1,10,170,3582,1.18,.231,.298,.624
68,롯데,22개,4월,3.00,104,24,0,0,14,9,19,9,219.1,86,73,929,826,194,39,3,5,84,1,8,235,3623,1.27,.235,.310,.617
69,SSG,22개,4월,2.61,104,25,0,0,19,5,21,11,228.0,68,66,928,831,170,24,2,11,79,5,8,175,3572,1.09,.205,.279,.557
70,한화,22개,5월,6.51,131,26,0,0,10,16,14,6,228.0,174,165,1053,918,285,69,8,23,96,5,14,175,4024,1.67,.311,.380,.858
71,롯데,22개,5월,4.83,115,26,0,0,9,17,5,2,227.1,134,122,1003,873,245,49,3,16,88,7,19,185,3858,1.47,.281,.356,.755
72,LG,22개,5월,4.25,142,26,0,0,14,12,21,6,230.2,125,109,1018,888,236,35,7,19,98,6,13,167,3980,1.45,.266,.343,.728
73,NC,22개,5월,4.25,118,26,0,0,9,17,11,5,228.2,127,108,1024,883,231,38,6,20,106,3,20,220,4069,1.47,.262,.351,.737
74,SSG,22개,5월,4.16,103,26,1,0,15,10,11,10,235.2,110,109,987,865,213,33,3,24,89,6,14,187,3801,1.28,.246,.324,.698
75,두산,22개,5월,4.12,107,25,0,0,11,13,12,3,225.0,118,103,987,857,221,34,2,25,101,2,10,173,3872,1.43,.258,.339,.729
76,KIA,22개,5월,4.11,120,26,0,0,18,8,14,9,232.0,128,106,1008,905,247,44,7,23,74,4,8,187,3829,1.38,.273,.330,.743
77,KT,22개,5월,3.93,105,26,0,0,11,15,8,4,233.2,115,102,979,883,223,33,0,19,70,8,11,204,3760,1.25,.253,.313,.667
78,삼성,22개,5월,3.70,112,25,1,1,14,11,12,7,226.0,102,93,980,873,220,33,2,23,89,7,5,174,3906,1.37,.252,.324,.698
79,키움,22개,5월,3.18,109,26,1,1,17,9,11,7,234.2,102,83,992,869,200,52,4,16,94,4,12,199,3880,1.25,.230,.311,.665
80,두산,22개,6월,5.66,37,8,0,0,3,5,3,1,70.0,50,44,318,286,83,10,0,11,26,0,2,53,1256,1.56,.290,.350,.791
81,롯데,22개,6월,5.08,38,8,0,0,2,5,5,1,78.0,49,44,345,299,75,18,0,7,30,3,8,77,1338,1.35,.251,.333,.715
82,키움,22개,6월,5.04,40,8,0,0,4,3,3,2,75.0,44,42,327,288,76,19,1,7,26,0,4,68,1298,1.36,.264,.329,.739
83,KIA,22개,6월,4.81,37,8,0,0,3,4,3,1,73.0,39,39,318,275,72,8,1,8,31,0,3,54,1284,1.41,.262,.339,.724
84,한화,22개,6월,4.75,36,8,0,0,3,5,5,1,72.0,39,38,318,272,65,9,1,8,35,1,5,49,1275,1.39,.239,.332,.700
85,삼성,22개,6월,4.68,44,8,0,0,4,4,8,4,75.0,51,39,343,304,91,15,0,8,32,2,3,61,1375,1.64,.299,.370,.797
86,SSG,22개,6월,3.81,38,9,0,0,3,5,1,2,80.1,43,34,345,308,71,15,4,5,33,1,2,57,1309,1.30,.231,.308,.662
87,LG,22개,6월,3.41,39,8,0,0,5,2,4,2,74.0,31,28,314,285,71,9,2,9,24,1,2,44,1122,1.28,.249,.312,.701
88,KT,22개,6월,2.22,41,9,0,0,5,2,5,2,85.0,23,21,354,312,63,7,0,4,35,0,5,69,1348,1.15,.202,.293,.555
89,NC,22개,6월,1.89,35,8,0,0,5,2,2,3,76.0,19,16,300,268,53,10,1,0,23,0,5,73,1152,1.00,.198,.270,.513
90,두산,14개,3월,9.00,9,2,0,0,1,1,2,1,18.0,18,18,90,76,22,2,0,3,13,0,0,11,350,1.94,.290,.389,.823
91,한화,14개,3월,6.88,11,2,0,0,1,1,3,1,17.0,13,13,82,70,20,5,1,3,11,0,0,9,339,1.82,.286,.383,.897
92,SK,14개,3월,6.00,13,2,0,0,1,1,1,1,18.0,12,12,79,73,23,7,1,1,5,0,0,9,290,1.56,.315,.359,.838
93,LG,14개,3월,4.76,10,2,0,0,1,1,0,0,17.0,9,9,79,64,17,3,0,3,11,0,2,6,266,1.65,.266,.385,.838
94,넥센,14개,3월,4.76,10,2,0,0,1,1,2,0,17.0,9,9,73,62,15,2,0,3,8,0,1,23,297,1.35,.242,.338,.757
95,KIA,14개,3월,4.24,8,2,0,0,1,1,2,1,17.0,8,8,74,66,16,3,1,1,7,0,1,15,287,1.35,.242,.324,.688
96,삼성,14개,3월,3.50,8,2,0,0,1,1,1,0,18.0,7,7,69,62,12,2,0,1,5,0,1,15,283,0.94,.194,.265,.539
97,롯데,14개,3월,3.00,8,2,0,0,1,1,1,0,18.0,6,6,79,71,18,2,0,2,8,0,0,8,301,1.44,.254,.329,.695
98,KIA,14개,4월,6.33,80,22,0,0,9,13,4,5,192.0,135,135,892,756,231,40,12,17,103,1,11,149,3520,1.74,.306,.391,.849
99,한화,14개,4월,6.18,82,20,0,0,7,13,8,2,176.1,121,121,806,680,205,32,5,22,91,5,8,104,3037,1.68,.302,.383,.844
100,LG,14개,4월,5.69,96,22,0,0,6,15,5,5,202.1,128,128,920,787,224,36,6,17,87,6,25,141,3481,1.54,.285,.371,.782
101,SK,14개,4월,5.11,96,23,0,0,13,10,9,7,200.2,114,114,883,762,209,41,5,23,94,2,6,143,3522,1.51,.274,.354,.786
102,넥센,14개,4월,5.11,92,22,0,0,14,8,12,9,197.1,112,112,870,748,201,35,1,23,94,0,8,141,3449,1.50,.269,.354,.764
103,삼성,14개,4월,5.01,84,19,0,0,10,9,8,4,167.0,93,93,723,636,170,32,2,21,67,1,6,121,2880,1.42,.267,.339,.762
104,롯데,14개,4월,4.78,100,21,0,0,11,9,12,7,194.0,103,103,861,750,211,41,5,19,83,6,8,125,3385,1.52,.281,.356,.781
105,NC,14개,4월,4.68,109,25,0,0,15,10,13,7,231.0,120,120,1012,867,228,46,4,18,106,5,16,176,3851,1.45,.263,.353,.740
106,두산,14개,4월,4.64,90,22,0,0,12,10,7,4,194.0,100,100,847,734,190,32,7,14,83,1,12,130,3386,1.41,.259,.340,.719
107,넥센,14개,5월,7.20,98,24,0,0,11,13,7,5,208.2,167,167,975,844,279,53,1,28,95,0,13,146,3798,1.79,.331,.403,.898
108,SK,14개,5월,6.98,101,24,0,0,9,15,7,3,214.0,166,166,993,863,256,52,3,27,90,5,19,157,3892,1.62,.297,.373,.831
109,한화,14개,5월,6.94,102,24,0,0,8,15,5,5,221.2,171,171,1048,898,289,49,10,25,111,3,16,134,3980,1.81,.322,.402,.884
110,두산,14개,5월,6.83,96,24,1,0,15,9,11,3,212.0,161,161,972,859,267,57,8,20,84,0,6,151,3758,1.66,.311,.372,.837
111,KIA,14개,5월,6.68,92,24,0,0,10,14,4,5,217.0,161,161,1011,865,253,58,4,26,119,1,7,162,3941,1.71,.293,.379,.838
112,롯데,14개,5월,6.04,99,24,0,0,10,14,8,4,207.0,139,139,946,810,237,46,5,26,97,1,14,141,3711,1.61,.293,.374,.832
113,LG,14개,5월,5.84,104,24,0,0,10,14,14,4,211.0,137,137,959,838,244,44,9,23,87,4,11,145,3762,1.57,.291,.360,.807
114,NC,14개,5월,4.58,94,24,1,0,15,9,8,4,210.1,107,107,926,811,220,38,0,26,82,1,12,142,3630,1.44,.271,.345,.759
115,삼성,14개,5월,4.04,94,24,1,0,19,4,14,9,216.0,97,97,914,808,206,46,2,10,72,1,11,182,3622,1.29,.255,.321,.675
116,한화,14개,6월,8.12,89,20,0,0,7,13,1,4,173.0,156,156,834,729,247,45,12,28,71,2,14,99,3130,1.84,.339,.402,.951
117,두산,14개,6월,7.38,86,20,1,0,5,15,7,1,167.0,137,137,778,683,228,47,8,30,63,1,8,126,2996,1.74,.334,.392,.950
118,KIA,14개,6월,7.22,87,22,2,1,13,9,10,5,187.0,150,150,858,730,217,41,2,22,92,1,15,139,3370,1.65,.297,.382,.831
119,SK,14개,6월,6.76,84,21,1,0,7,14,5,3,183.2,138,138,831,713,209,35,3,30,86,4,15,125,3235,1.61,.293,.379,.856
120,넥센,14개,6월,6.73,84,21,0,0,13,7,10,8,182.0,136,136,857,748,241,41,4,33,90,0,8,123,3578,1.82,.322,.397,.918
121,삼성,14개,6월,5.14,88,22,1,0,14,7,18,4,198.0,113,113,884,788,224,49,5,26,73,2,9,163,3486,1.50,.284,.350,.808
122,LG,14개,6월,4.73,87,21,1,1,10,11,7,5,184.2,97,97,787,713,193,30,4,19,46,0,10,138,3058,1.29,.271,.322,.726
123,NC,14개,6월,4.53,85,20,2,1,10,10,8,4,174.2,88,88,760,666,181,36,4,16,72,0,7,134,2923,1.45,.272,.346,.756
124,롯데,14개,6월,4.41,84,19,0,0,13,6,16,8,167.1,82,82,728,641,191,34,3,13,56,0,8,118,2787,1.48,.298,.358,.779
125,한화,14개,7월,8.06,87,20,0,0,9,11,8,5,176.1,158,158,850,725,230,45,6,32,88,1,20,130,3194,1.80,.317,.402,.930
126,SK,14개,7월,7.07,83,17,0,0,6,11,5,2,149.0,117,117,709,612,187,36,3,27,76,2,9,122,2787,1.77,.306,.388,.894
127,롯데,14개,7월,6.48,91,22,0,0,8,14,2,3,194.1,140,140,868,753,227,44,3,24,83,1,8,122,3424,1.60,.302,.374,.837
128,두산,14개,7월,6.24,72,16,0,0,6,10,8,3,140.0,97,97,634,550,168,32,2,13,59,1,6,107,2386,1.62,.306,.374,.816
129,KIA,14개,7월,6.07,92,20,0,0,7,13,8,2,175.0,118,118,811,675,200,39,4,16,100,2,16,134,3192,1.71,.296,.395,.832
