,name,year,month,era,bs_trip,selection,complete,shut_down,win,group,count,hold,innings,loss,blame,hitter,steersman,safety,stroke2,stroke3,homer,walk,high4,dune,fan,pitching,WHIP,bit_avg,on_base_per,OPS
180,삼성,15개,5월,4.01,95,25,1,0,14,11,10,7,220.0,107,98,927,836,214,47,2,31,65,1,13,210,3695,1.27,.256,.317,.745
181,NC,15개,5월,3.41,120,26,0,0,20,5,14,10,235.0,97,89,1003,867,209,31,3,18,92,4,22,199,4013,1.28,.241,.328,.674
182,롯데,15개,6월,5.98,77,21,1,1,6,15,4,1,182.0,144,121,840,763,243,33,2,32,58,2,5,136,3205,1.65,.319,.367,.860
183,kt,15개,6월,5.93,98,23,1,0,11,12,4,3,202.0,152,133,938,822,254,51,2,24,85,2,12,179,3675,1.68,.309,.379,.843
184,삼성,15개,6월,5.06,85,21,1,0,11,10,6,2,185.0,111,104,801,714,189,43,1,26,63,0,6,160,3082,1.36,.265,.328,.765
185,SK,15개,6월,4.81,88,22,1,1,10,12,7,4,196.2,115,105,881,770,222,45,3,18,72,6,14,173,3383,1.50,.288,.355,.780
186,NC,15개,6월,4.63,98,22,0,0,11,11,9,4,190.2,108,98,850,758,213,39,3,20,66,1,14,157,3340,1.46,.281,.348,.767
187,두산,15개,6월,4.46,95,23,1,0,12,11,11,3,203.2,104,101,885,779,208,46,5,22,78,1,9,166,3441,1.40,.267,.339,.763
188,넥센,15개,6월,4.33,88,21,0,0,12,9,4,1,187.0,101,90,815,711,191,25,2,26,74,0,13,158,3238,1.42,.269,.345,.765
189,KIA,15개,6월,4.32,78,20,1,1,11,9,12,7,175.0,86,84,747,655,173,28,4,18,68,0,12,124,2956,1.38,.264,.342,.744
190,LG,15개,6월,3.81,86,23,2,1,13,10,11,6,205.1,97,87,886,783,210,35,5,15,66,5,22,179,3413,1.34,.268,.341,.724
191,한화,15개,6월,3.67,88,22,1,0,12,10,7,6,196.1,100,80,850,736,180,30,1,28,87,4,9,152,3386,1.36,.245,.330,.732
192,kt,15개,7월,5.73,76,18,1,0,8,10,4,3,154.0,106,98,690,613,194,29,4,21,52,0,9,111,2569,1.60,.317,.375,.855
193,한화,15개,7월,5.53,100,20,0,0,10,10,6,4,179.0,120,110,810,694,192,27,2,28,88,9,14,122,3212,1.56,.277,.367,.809
194,두산,15개,7월,5.39,91,21,0,0,11,10,4,4,187.0,117,112,845,733,220,42,3,16,76,2,13,145,3172,1.58,.300,.373,.804
195,삼성,15개,7월,5.31,87,21,0,0,14,7,5,3,188.0,122,111,845,746,212,42,4,34,71,1,11,169,3384,1.51,.284,.353,.841
196,LG,15개,7월,5.10,96,19,0,0,7,12,6,2,169.1,103,96,749,645,177,32,3,18,65,7,15,139,2917,1.43,.274,.352,.769
197,KIA,15개,7월,5.09,104,22,0,0,10,12,7,3,196.1,133,111,902,770,234,44,5,18,93,3,13,147,3438,1.67,.304,.384,.828
198,넥센,15개,7월,5.06,83,20,0,0,12,8,7,8,181.1,119,102,794,706,200,34,4,16,60,1,6,139,3001,1.43,.283,.339,.750
199,NC,15개,7월,4.84,83,20,0,0,8,11,4,3,180.1,104,97,792,682,192,38,3,25,62,5,23,144,2989,1.41,.282,.358,.814
200,SK,15개,7월,4.61,83,19,1,0,9,9,6,5,175.2,95,90,765,679,197,33,1,24,62,6,9,142,2954,1.47,.290,.356,.804
201,롯데,15개,7월,3.95,100,22,1,0,11,11,10,2,202.2,93,89,876,764,211,38,3,15,72,7,16,167,3434,1.40,.276,.348,.741
202,롯데,15개,8월,6.14,93,23,0,0,9,14,3,3,200.2,148,137,917,806,256,41,0,30,70,0,19,136,3421,1.63,.318,.382,.862
