,team,year,month,pov,obp,slg,ba,ops,era,fb,inning,fb_inning,whip
519,9,2020,8,0.52,0.339,0.376,0.258,0.715,6.44,117.0,216.2,0.541,1.81
520,9,2020,9,0.542,0.367,0.422,0.287,0.789,5.02,92.0,215.0,0.428,1.49
521,9,2020,10,0.519,0.345,0.382,0.271,0.727,6.45,138.0,240.0,0.575,1.81
522,9,2021,3,0.571,,,,,,,,,
523,9,2021,4,0.522,0.338,0.313,0.243,0.65,4.53,122.0,214.2,0.57,1.49
524,9,2021,5,0.455,0.367,0.364,0.275,0.73,6.19,109.0,192.0,0.568,1.73
525,9,2021,6,0.304,0.31,0.296,0.22,0.606,6.22,118.0,195.1,0.605,1.69
526,9,2021,7,0.833,0.362,0.453,0.294,0.815,2.09,23.0,56.0,0.411,1.18
527,9,2021,8,0.6,0.339,0.343,0.228,0.682,5.41,53.0,123.0,0.431,1.39
528,9,2021,9,0.385,0.321,0.33,0.236,0.651,4.58,97.0,240.0,0.404,1.46
529,9,2021,10,0.708,0.345,0.341,0.264,0.686,3.96,100.0,248.0,0.403,1.36
530,9,2022,3,0.636,,,,,,,,,
531,9,2022,4,0.375,0.34,0.369,0.261,0.71,3.49,74.0,209.0,0.354,1.25
532,9,2022,5,0.615,0.371,0.447,0.284,0.818,4.11,74.0,232.0,0.319,1.38
533,9,2022,6,0.714,0.319,0.405,0.251,0.723,5.04,40.0,91.0,0.44,1.43
534,10,2015,3,0.429,0.385,0.351,0.257,0.736,3.54,10.0,20.1,0.498,1.23
535,10,2015,4,0.636,0.343,0.389,0.259,0.732,5.06,102.0,195.2,0.523,1.54
536,10,2015,5,0.481,0.352,0.398,0.257,0.75,5.47,131.0,237.0,0.553,1.69
537,10,2015,6,0.636,0.361,0.434,0.277,0.795,3.67,87.0,196.1,0.444,1.36
538,10,2015,7,0.45,0.366,0.366,0.275,0.733,5.53,88.0,179.0,0.492,1.56
539,10,2015,8,0.28,0.369,0.407,0.277,0.776,4.96,107.0,219.2,0.488,1.53
540,10,2015,9,0.565,0.367,0.445,0.286,0.813,6.31,115.0,206.2,0.558,1.73
541,10,2015,10,0.333,0.336,0.301,0.252,0.637,3.24,8.0,25.0,0.32,1.2
542,10,2016,3,0.438,,,,,,,,,
543,10,2016,4,0.348,0.337,0.366,0.263,0.704,5.7,129.0,207.0,0.623,1.69
544,10,2016,5,0.5,0.369,0.444,0.289,0.812,7.42,134.0,218.1,0.614,1.93
545,10,2016,6,0.652,0.348,0.442,0.285,0.79,4.76,96.0,221.0,0.434,1.52
546,10,2016,7,0.45,0.39,0.485,0.308,0.875,4.93,78.0,191.2,0.408,1.49
547,10,2016,8,0.625,0.36,0.428,0.3,0.788,6.3,90.0,210.0,0.429,1.63
548,10,2016,9,0.478,0.357,0.402,0.282,0.759,5.72,93.0,207.2,0.449,1.75
549,10,2016,10,0.5,0.409,0.523,0.336,0.933,3.89,14.0,37.0,0.378,1.49
550,10,2017,3,0.727,0.219,0.138,0.138,0.357,1.13,2.0,8.0,0.25,0.75
551,10,2017,4,0.48,0.333,0.385,0.276,0.718,4.53,83.0,224.1,0.37,1.39
552,10,2017,5,0.52,0.365,0.415,0.292,0.78,4.6,90.0,221.0,0.407,1.53
553,10,2017,6,0.292,0.37,0.501,0.307,0.871,5.96,81.0,222.0,0.365,1.57
554,10,2017,7,0.45,0.341,0.475,0.289,0.816,7.56,57.0,172.2,0.331,1.76
555,10,2017,8,0.478,0.363,0.443,0.297,0.806,4.14,63.0,202.0,0.312,1.36
556,10,2017,9,0.522,0.335,0.407,0.267,0.742,5.52,61.0,202.0,0.302,1.51
557,10,2017,10,0.0,0.319,0.437,0.276,0.756,5.57,9.0,21.0,0.429,1.67
558,10,2018,3,0.385,0.337,0.398,0.275,0.735,5.1,23.0,60.0,0.383,1.38
559,10,2018,4,0.455,0.346,0.412,0.279,0.758,4.96,76.0,194.0,0.392,1.51
560,10,2018,5,0.6,0.333,0.408,0.271,0.741,3.86,60.0,226.0,0.265,1.32
561,10,2018,6,0.615,0.339,0.432,0.268,0.771,4.6,81.0,231.0,0.351,1.46
562,10,2018,7,0.5,0.344,0.407,0.288,0.751,5.06,73.0,192.0,0.38,1.43
563,10,2018,8,0.583,0.353,0.421,0.268,0.774,6.2,41.0,106.0,0.387,1.58
564,10,2018,9,0.625,0.339,0.449,0.277,0.788,5.32,88.0,213.0,0.413,1.52
