,rank,name,year,month,bat_avg,at_bat,steerman,score,safety,stroke2,stroke3,homer,ruta,RBI,theft,dormitory,walk,dune,high4,fan,disease,heeta,happiness,on_base,long_hit,OPS
16,1,SK,08,5월,.282,5003,4332,632,1222,215,23,89,1750,591,170,83,491,62,15,735,99,80,38,.361,.404,.765
17,2,롯데,08,5월,.282,4890,4256,624,1200,199,22,93,1722,590,133,68,445,76,13,728,97,62,51,.357,.405,.761
18,3,두산,08,5월,.276,4975,4344,647,1198,166,37,68,1642,598,189,63,472,78,23,719,115,36,44,.354,.378,.732
19,4,히어로즈,08,5월,.266,4834,4317,499,1149,190,19,70,1587,471,97,57,396,37,20,713,114,51,33,.331,.368,.698
20,5,KIA,08,5월,.260,4832,4210,503,1095,188,28,48,1483,465,131,65,453,48,14,642,97,85,35,.336,.352,.689
21,6,삼성,08,5월,.258,4859,4180,557,1078,187,15,92,1571,520,59,37,505,65,15,699,115,70,38,.344,.376,.720
22,7,LG,08,5월,.256,4743,4184,468,1070,164,23,66,1478,447,111,45,364,59,6,765,90,85,50,.321,.353,.674
23,8,한화,08,5월,.254,4882,4275,592,1086,204,20,120,1690,566,97,25,463,57,17,770,100,52,35,.333,.395,.728
24,1,SK,08,6월,.282,5003,4332,632,1222,215,23,89,1750,591,170,83,491,62,15,735,99,80,38,.361,.404,.765
25,2,롯데,08,6월,.282,4890,4256,624,1200,199,22,93,1722,590,133,68,445,76,13,728,97,62,51,.357,.405,.761
26,3,두산,08,6월,.276,4975,4344,647,1198,166,37,68,1642,598,189,63,472,78,23,719,115,36,44,.354,.378,.732
27,4,히어로즈,08,6월,.266,4834,4317,499,1149,190,19,70,1587,471,97,57,396,37,20,713,114,51,33,.331,.368,.698
28,5,KIA,08,6월,.260,4832,4210,503,1095,188,28,48,1483,465,131,65,453,48,14,642,97,85,35,.336,.352,.689
29,6,삼성,08,6월,.258,4859,4180,557,1078,187,15,92,1571,520,59,37,505,65,15,699,115,70,38,.344,.376,.720
30,7,LG,08,6월,.256,4743,4184,468,1070,164,23,66,1478,447,111,45,364,59,6,765,90,85,50,.321,.353,.674
31,8,한화,08,6월,.254,4882,4275,592,1086,204,20,120,1690,566,97,25,463,57,17,770,100,52,35,.333,.395,.728
32,1,SK,08,7월,.282,5003,4332,632,1222,215,23,89,1750,591,170,83,491,62,15,735,99,80,38,.361,.404,.765
33,2,롯데,08,7월,.282,4890,4256,624,1200,199,22,93,1722,590,133,68,445,76,13,728,97,62,51,.357,.405,.761
34,3,두산,08,7월,.276,4975,4344,647,1198,166,37,68,1642,598,189,63,472,78,23,719,115,36,44,.354,.378,.732
35,4,히어로즈,08,7월,.266,4834,4317,499,1149,190,19,70,1587,471,97,57,396,37,20,713,114,51,33,.331,.368,.698
36,5,KIA,08,7월,.260,4832,4210,503,1095,188,28,48,1483,465,131,65,453,48,14,642,97,85,35,.336,.352,.689
37,6,삼성,08,7월,.258,4859,4180,557,1078,187,15,92,1571,520,59,37,505,65,15,699,115,70,38,.344,.376,.720
38,7,LG,08,7월,.256,4743,4184,468,1070,164,23,66,1478,447,111,45,364,59,6,765,90,85,50,.321,.353,.674
39,8,한화,08,7월,.254,4882,4275,592,1086,204,20,120,1690,566,97,25,463,57,17,770,100,52,35,.333,.395,.728
40,1,SK,08,8월,.282,5003,4332,632,1222,215,23,89,1750,591,170,83,491,62,15,735,99,80,38,.361,.404,.765
41,2,롯데,08,8월,.282,4890,4256,624,1200,199,22,93,1722,590,133,68,445,76,13,728,97,62,51,.357,.405,.761
42,3,두산,08,8월,.276,4975,4344,647,1198,166,37,68,1642,598,189,63,472,78,23,719,115,36,44,.354,.378,.732
43,4,히어로즈,08,8월,.266,4834,4317,499,1149,190,19,70,1587,471,97,57,396,37,20,713,114,51,33,.331,.368,.698
44,5,KIA,08,8월,.260,4832,4210,503,1095,188,28,48,1483,465,131,65,453,48,14,642,97,85,35,.336,.352,.689
45,6,삼성,08,8월,.258,4859,4180,557,1078,187,15,92,1571,520,59,37,505,65,15,699,115,70,38,.344,.376,.720
46,7,LG,08,8월,.256,4743,4184,468,1070,164,23,66,1478,447,111,45,364,59,6,765,90,85,50,.321,.353,.674
47,8,한화,08,8월,.254,4882,4275,592,1086,204,20,120,1690,566,97,25,463,57,17,770,100,52,35,.333,.395,.728
48,1,SK,08,9월,.282,5003,4332,632,1222,215,23,89,1750,591,170,83,491,62,15,735,99,80,38,.361,.404,.765
49,2,롯데,08,9월,.282,4890,4256,624,1200,199,22,93,1722,590,133,68,445,76,13,728,97,62,51,.357,.405,.761
50,3,두산,08,9월,.276,4975,4344,647,1198,166,37,68,1642,598,189,63,472,78,23,719,115,36,44,.354,.378,.732
51,4,히어로즈,08,9월,.266,4834,4317,499,1149,190,19,70,1587,471,97,57,396,37,20,713,114,51,33,.331,.368,.698
52,5,KIA,08,9월,.260,4832,4210,503,1095,188,28,48,1483,465,131,65,453,48,14,642,97,85,35,.336,.352,.689
53,6,삼성,08,9월,.258,4859,4180,557,1078,187,15,92,1571,520,59,37,505,65,15,699,115,70,38,.344,.376,.720
54,7,LG,08,9월,.256,4743,4184,468,1070,164,23,66,1478,447,111,45,364,59,6,765,90,85,50,.321,.353,.674
55,8,한화,08,9월,.254,4882,4275,592,1086,204,20,120,1690,566,97,25,463,57,17,770,100,52,35,.333,.395,.728
56,1,SK,09,3월,.285,5379,4574,732,1303,235,17,166,2070,693,181,68,552,84,16,892,103,128,40,.369,.453,.822
57,2,두산,09,3월,.280,5265,4591,722,1286,215,33,120,1927,669,129,50,522,86,21,849,128,26,40,.362,.420,.781
58,3,LG,09,3월,.278,5248,4505,670,1251,182,21,129,1862,627,141,47,552,49,28,781,124,97,45,.360,.413,.773
59,4,롯데,09,3월,.277,5053,4420,637,1223,252,15,121,1868,597,106,45,456,68,8,816,121,60,49,.350,.423,.773
60,5,삼성,09,3월,.275,5220,4459,685,1224,233,15,146,1925,650,125,50,584,67,23,789,108,67,43,.364,.432,.796
61,6,히어로즈,09,3월,.272,5211,4486,683,1219,228,20,153,1946,650,192,67,547,63,22,905,116,64,48,.356,.434,.789
62,7,한화,09,3월,.269,5273,4620,657,1241,210,13,164,1969,629,69,20,498,81,16,1017,126,43,31,.348,.426,.774
63,8,KIA,09,3월,.267,5215,4455,706,1191,197,24,156,1904,671,113,52,579,66,26,890,111,74,41,.357,.427,.785
64,1,SK,09,4월,.285,5379,4574,732,1303,235,17,166,2070,693,181,68,552,84,16,892,103,128,40,.369,.453,.822
65,2,두산,09,4월,.280,5265,4591,722,1286,215,33,120,1927,669,129,50,522,86,21,849,128,26,40,.362,.420,.781
66,3,LG,09,4월,.278,5248,4505,670,1251,182,21,129,1862,627,141,47,552,49,28,781,124,97,45,.360,.413,.773
67,4,롯데,09,4월,.277,5053,4420,637,1223,252,15,121,1868,597,106,45,456,68,8,816,121,60,49,.350,.423,.773
68,5,삼성,09,4월,.275,5220,4459,685,1224,233,15,146,1925,650,125,50,584,67,23,789,108,67,43,.364,.432,.796
69,6,히어로즈,09,4월,.272,5211,4486,683,1219,228,20,153,1946,650,192,67,547,63,22,905,116,64,48,.356,.434,.789
70,7,한화,09,4월,.269,5273,4620,657,1241,210,13,164,1969,629,69,20,498,81,16,1017,126,43,31,.348,.426,.774
71,8,KIA,09,4월,.267,5215,4455,706,1191,197,24,156,1904,671,113,52,579,66,26,890,111,74,41,.357,.427,.785
72,1,SK,09,5월,.285,5379,4574,732,1303,235,17,166,2070,693,181,68,552,84,16,892,103,128,40,.369,.453,.822
73,2,두산,09,5월,.280,5265,4591,722,1286,215,33,120,1927,669,129,50,522,86,21,849,128,26,40,.362,.420,.781
74,3,LG,09,5월,.278,5248,4505,670,1251,182,21,129,1862,627,141,47,552,49,28,781,124,97,45,.360,.413,.773
75,4,롯데,09,5월,.277,5053,4420,637,1223,252,15,121,1868,597,106,45,456,68,8,816,121,60,49,.350,.423,.773
76,5,삼성,09,5월,.275,5220,4459,685,1224,233,15,146,1925,650,125,50,584,67,23,789,108,67,43,.364,.432,.796
77,6,히어로즈,09,5월,.272,5211,4486,683,1219,228,20,153,1946,650,192,67,547,63,22,905,116,64,48,.356,.434,.789
78,7,한화,09,5월,.269,5273,4620,657,1241,210,13,164,1969,629,69,20,498,81,16,1017,126,43,31,.348,.426,.774
79,8,KIA,09,5월,.267,5215,4455,706,1191,197,24,156,1904,671,113,52,579,66,26,890,111,74,41,.357,.427,.785
80,1,SK,09,6월,.285,5379,4574,732,1303,235,17,166,2070,693,181,68,552,84,16,892,103,128,40,.369,.453,.822
81,2,두산,09,6월,.280,5265,4591,722,1286,215,33,120,1927,669,129,50,522,86,21,849,128,26,40,.362,.420,.781
82,3,LG,09,6월,.278,5248,4505,670,1251,182,21,129,1862,627,141,47,552,49,28,781,124,97,45,.360,.413,.773
83,4,롯데,09,6월,.277,5053,4420,637,1223,252,15,121,1868,597,106,45,456,68,8,816,121,60,49,.350,.423,.773
84,5,삼성,09,6월,.275,5220,4459,685,1224,233,15,146,1925,650,125,50,584,67,23,789,108,67,43,.364,.432,.796
85,6,히어로즈,09,6월,.272,5211,4486,683,1219,228,20,153,1946,650,192,67,547,63,22,905,116,64,48,.356,.434,.789
86,7,한화,09,6월,.269,5273,4620,657,1241,210,13,164,1969,629,69,20,498,81,16,1017,126,43,31,.348,.426,.774
87,8,KIA,09,6월,.267,5215,4455,706,1191,197,24,156,1904,671,113,52,579,66,26,890,111,74,41,.357,.427,.785
88,1,SK,09,7월,.285,5379,4574,732,1303,235,17,166,2070,693,181,68,552,84,16,892,103,128,40,.369,.453,.822
89,2,두산,09,7월,.280,5265,4591,722,1286,215,33,120,1927,669,129,50,522,86,21,849,128,26,40,.362,.420,.781
90,3,LG,09,7월,.278,5248,4505,670,1251,182,21,129,1862,627,141,47,552,49,28,781,124,97,45,.360,.413,.773
91,4,롯데,09,7월,.277,5053,4420,637,1223,252,15,121,1868,597,106,45,456,68,8,816,121,60,49,.350,.423,.773
92,5,삼성,09,7월,.275,5220,4459,685,1224,233,15,146,1925,650,125,50,584,67,23,789,108,67,43,.364,.432,.796
93,6,히어로즈,09,7월,.272,5211,4486,683,1219,228,20,153,1946,650,192,67,547,63,22,905,116,64,48,.356,.434,.789
94,7,한화,09,7월,.269,5273,4620,657,1241,210,13,164,1969,629,69,20,498,81,16,1017,126,43,31,.348,.426,.774
95,8,KIA,09,7월,.267,5215,4455,706,1191,197,24,156,1904,671,113,52,579,66,26,890,111,74,41,.357,.427,.785
96,1,SK,09,8월,.285,5379,4574,732,1303,235,17,166,2070,693,181,68,552,84,16,892,103,128,40,.369,.453,.822
97,2,두산,09,8월,.280,5265,4591,722,1286,215,33,120,1927,669,129,50,522,86,21,849,128,26,40,.362,.420,.781
98,3,LG,09,8월,.278,5248,4505,670,1251,182,21,129,1862,627,141,47,552,49,28,781,124,97,45,.360,.413,.773
99,4,롯데,09,8월,.277,5053,4420,637,1223,252,15,121,1868,597,106,45,456,68,8,816,121,60,49,.350,.423,.773
100,5,삼성,09,8월,.275,5220,4459,685,1224,233,15,146,1925,650,125,50,584,67,23,789,108,67,43,.364,.432,.796
101,6,히어로즈,09,8월,.272,5211,4486,683,1219,228,20,153,1946,650,192,67,547,63,22,905,116,64,48,.356,.434,.789
102,7,한화,09,8월,.269,5273,4620,657,1241,210,13,164,1969,629,69,20,498,81,16,1017,126,43,31,.348,.426,.774
103,8,KIA,09,8월,.267,5215,4455,706,1191,197,24,156,1904,671,113,52,579,66,26,890,111,74,41,.357,.427,.785
104,1,SK,09,9월,.285,5379,4574,732,1303,235,17,166,2070,693,181,68,552,84,16,892,103,128,40,.369,.453,.822
105,2,두산,09,9월,.280,5265,4591,722,1286,215,33,120,1927,669,129,50,522,86,21,849,128,26,40,.362,.420,.781
106,3,LG,09,9월,.278,5248,4505,670,1251,182,21,129,1862,627,141,47,552,49,28,781,124,97,45,.360,.413,.773
107,4,롯데,09,9월,.277,5053,4420,637,1223,252,15,121,1868,597,106,45,456,68,8,816,121,60,49,.350,.423,.773
108,5,삼성,09,9월,.275,5220,4459,685,1224,233,15,146,1925,650,125,50,584,67,23,789,108,67,43,.364,.432,.796
109,6,히어로즈,09,9월,.272,5211,4486,683,1219,228,20,153,1946,650,192,67,547,63,22,905,116,64,48,.356,.434,.789
110,7,한화,09,9월,.269,5273,4620,657,1241,210,13,164,1969,629,69,20,498,81,16,1017,126,43,31,.348,.426,.774
111,8,KIA,09,9월,.267,5215,4455,706,1191,197,24,156,1904,671,113,52,579,66,26,890,111,74,41,.357,.427,.785
112,1,롯데,10,3월,.288,5261,4673,773,1345,220,16,185,2152,739,124,51,420,67,15,873,105,60,41,.352,.461,.813
113,2,두산,10,3월,.281,5252,4538,731,1276,224,25,149,1997,706,128,61,533,89,27,834,97,54,38,.365,.440,.805
114,3,LG,10,3월,.276,5270,4604,688,1270,223,17,121,1890,652,169,56,486,54,25,907,97,82,44,.349,.411,.759
115,4,SK,10,3월,.274,5213,4439,704,1217,222,16,120,1831,648,161,69,484,99,25,813,86,147,44,.355,.412,.768
116,5,삼성,10,3월,.272,5287,4436,681,1207,212,14,118,1801,630,158,55,621,75,29,916,111,111,44,.368,.406,.774
117,6,넥센,10,3월,.262,5139,4452,570,1165,199,20,87,1665,539,135,56,480,68,16,874,119,95,43,.340,.374,.714
118,7,KIA,10,3월,.260,5166,4416,611,1148,190,17,106,1690,574,117,52,523,85,14,865,110,109,33,.347,.383,.730
119,8,한화,10,3월,.244,5009,4321,543,1053,160,13,104,1551,508,121,70,497,80,10,943,106,75,33,.331,.359,.690
120,1,롯데,10,4월,.288,5261,4673,773,1345,220,16,185,2152,739,124,51,420,67,15,873,105,60,41,.352,.461,.813
121,2,두산,10,4월,.281,5252,4538,731,1276,224,25,149,1997,706,128,61,533,89,27,834,97,54,38,.365,.440,.805
122,3,LG,10,4월,.276,5270,4604,688,1270,223,17,121,1890,652,169,56,486,54,25,907,97,82,44,.349,.411,.759
123,4,SK,10,4월,.274,5213,4439,704,1217,222,16,120,1831,648,161,69,484,99,25,813,86,147,44,.355,.412,.768
124,5,삼성,10,4월,.272,5287,4436,681,1207,212,14,118,1801,630,158,55,621,75,29,916,111,111,44,.368,.406,.774
125,6,넥센,10,4월,.262,5139,4452,570,1165,199,20,87,1665,539,135,56,480,68,16,874,119,95,43,.340,.374,.714
126,7,KIA,10,4월,.260,5166,4416,611,1148,190,17,106,1690,574,117,52,523,85,14,865,110,109,33,.347,.383,.730
127,8,한화,10,4월,.244,5009,4321,543,1053,160,13,104,1551,508,121,70,497,80,10,943,106,75,33,.331,.359,.690
128,1,롯데,10,5월,.288,5261,4673,773,1345,220,16,185,2152,739,124,51,420,67,15,873,105,60,41,.352,.461,.813
129,2,두산,10,5월,.281,5252,4538,731,1276,224,25,149,1997,706,128,61,533,89,27,834,97,54,38,.365,.440,.805
130,3,LG,10,5월,.276,5270,4604,688,1270,223,17,121,1890,652,169,56,486,54,25,907,97,82,44,.349,.411,.759
131,4,SK,10,5월,.274,5213,4439,704,1217,222,16,120,1831,648,161,69,484,99,25,813,86,147,44,.355,.412,.768
132,5,삼성,10,5월,.272,5287,4436,681,1207,212,14,118,1801,630,158,55,621,75,29,916,111,111,44,.368,.406,.774
133,6,넥센,10,5월,.262,5139,4452,570,1165,199,20,87,1665,539,135,56,480,68,16,874,119,95,43,.340,.374,.714
134,7,KIA,10,5월,.260,5166,4416,611,1148,190,17,106,1690,574,117,52,523,85,14,865,110,109,33,.347,.383,.730
135,8,한화,10,5월,.244,5009,4321,543,1053,160,13,104,1551,508,121,70,497,80,10,943,106,75,33,.331,.359,.690
136,1,롯데,10,6월,.288,5261,4673,773,1345,220,16,185,2152,739,124,51,420,67,15,873,105,60,41,.352,.461,.813
137,2,두산,10,6월,.281,5252,4538,731,1276,224,25,149,1997,706,128,61,533,89,27,834,97,54,38,.365,.440,.805
138,3,LG,10,6월,.276,5270,4604,688,1270,223,17,121,1890,652,169,56,486,54,25,907,97,82,44,.349,.411,.759
139,4,SK,10,6월,.274,5213,4439,704,1217,222,16,120,1831,648,161,69,484,99,25,813,86,147,44,.355,.412,.768
140,5,삼성,10,6월,.272,5287,4436,681,1207,212,14,118,1801,630,158,55,621,75,29,916,111,111,44,.368,.406,.774
141,6,넥센,10,6월,.262,5139,4452,570,1165,199,20,87,1665,539,135,56,480,68,16,874,119,95,43,.340,.374,.714
142,7,KIA,10,6월,.260,5166,4416,611,1148,190,17,106,1690,574,117,52,523,85,14,865,110,109,33,.347,.383,.730
143,8,한화,10,6월,.244,5009,4321,543,1053,160,13,104,1551,508,121,70,497,80,10,943,106,75,33,.331,.359,.690
144,1,롯데,10,7월,.288,5261,4673,773,1345,220,16,185,2152,739,124,51,420,67,15,873,105,60,41,.352,.461,.813
145,2,두산,10,7월,.281,5252,4538,731,1276,224,25,149,1997,706,128,61,533,89,27,834,97,54,38,.365,.440,.805
146,3,LG,10,7월,.276,5270,4604,688,1270,223,17,121,1890,652,169,56,486,54,25,907,97,82,44,.349,.411,.759
147,4,SK,10,7월,.274,5213,4439,704,1217,222,16,120,1831,648,161,69,484,99,25,813,86,147,44,.355,.412,.768
148,5,삼성,10,7월,.272,5287,4436,681,1207,212,14,118,1801,630,158,55,621,75,29,916,111,111,44,.368,.406,.774
149,6,넥센,10,7월,.262,5139,4452,570,1165,199,20,87,1665,539,135,56,480,68,16,874,119,95,43,.340,.374,.714
150,7,KIA,10,7월,.260,5166,4416,611,1148,190,17,106,1690,574,117,52,523,85,14,865,110,109,33,.347,.383,.730
151,8,한화,10,7월,.244,5009,4321,543,1053,160,13,104,1551,508,121,70,497,80,10,943,106,75,33,.331,.359,.690
152,1,롯데,10,8월,.288,5261,4673,773,1345,220,16,185,2152,739,124,51,420,67,15,873,105,60,41,.352,.461,.813
