,rank,name,year,month,bat_avg,at_bat,steerman,score,safety,stroke2,stroke3,homer,ruta,RBI,theft,dormitory,walk,dune,high4,fan,disease,heeta,happiness,on_base,long_hit,OPS
778,4,LG,20개,8월,.282,979,865,145,244,41,8,33,400,140,10,5,91,11,3,191,22,6,6,.356,.462,.818
779,5,롯데,20개,8월,.280,891,776,126,217,41,2,21,325,119,18,4,88,10,3,122,21,8,9,.357,.419,.776
780,6,SK,20개,8월,.278,903,769,128,214,36,4,25,333,123,7,6,99,16,1,132,18,10,9,.368,.433,.802
781,7,삼성,20개,8월,.260,901,809,89,210,31,1,18,297,85,21,7,67,11,3,160,15,7,7,.322,.367,.689
782,8,KIA,20개,8월,.258,976,857,129,221,30,1,23,322,124,10,3,95,11,0,197,8,11,2,.339,.376,.715
783,9,KT,20개,8월,.248,910,781,113,194,38,3,22,304,104,14,9,107,8,1,175,20,8,6,.343,.389,.732
784,10,한화,20개,8월,.235,820,706,82,166,21,5,12,233,76,4,6,78,20,1,169,14,9,7,.326,.330,.656
785,1,NC,20개,9월,.299,1061,911,166,272,44,6,27,409,155,28,10,103,24,6,182,18,11,12,.380,.449,.829
786,2,KT,20개,9월,.287,1043,902,142,259,35,3,26,378,136,21,9,104,13,4,197,17,13,11,.365,.419,.784
787,3,KIA,20개,9월,.287,958,829,128,238,47,4,19,350,119,4,8,96,13,3,150,21,12,8,.367,.422,.789
788,4,롯데,20개,9월,.280,1073,925,147,259,42,0,18,355,141,13,6,124,10,3,161,34,4,10,.368,.384,.751
789,5,삼성,20개,9월,.275,979,867,129,238,26,4,23,341,117,19,4,85,5,1,165,21,12,10,.339,.393,.733
790,6,LG,20개,9월,.272,954,847,129,230,45,4,28,367,122,16,3,85,7,3,184,18,9,6,.341,.433,.774
791,7,키움,20개,9월,.267,1090,951,138,254,50,4,15,357,131,22,4,113,12,1,215,16,6,8,.350,.375,.725
792,8,한화,20개,9월,.262,1011,896,113,235,35,1,19,329,110,7,6,77,20,2,249,17,12,6,.332,.367,.700
793,9,두산,20개,9월,.248,967,839,111,208,42,4,13,297,103,8,6,101,10,2,143,20,8,9,.333,.354,.687
794,10,SK,20개,9월,.233,974,867,108,202,35,0,24,309,99,18,9,86,8,4,177,22,7,6,.306,.356,.663
795,1,KT,21개,4월,.295,947,797,140,235,34,5,14,321,127,26,10,126,9,5,160,21,8,7,.394,.403,.797
796,2,두산,21개,4월,.289,938,817,130,236,30,3,19,329,124,8,6,100,10,2,157,18,5,6,.371,.403,.774
797,3,롯데,21개,4월,.275,957,822,120,226,44,1,18,326,117,10,8,119,8,5,171,22,6,2,.371,.397,.768
798,4,삼성,21개,4월,.273,933,801,120,219,33,3,23,327,110,22,6,104,8,4,155,17,7,13,.358,.408,.766
799,5,NC,21개,4월,.262,923,791,125,207,33,4,33,347,123,10,6,92,29,1,173,11,6,5,.358,.439,.796
800,6,KIA,21개,4월,.243,941,803,95,195,31,5,5,251,93,15,4,107,12,6,163,16,11,8,.338,.313,.650
801,7,키움,21개,4월,.243,954,828,107,201,47,5,10,288,94,19,5,100,13,4,187,17,5,8,.331,.348,.679
802,8,한화,21개,4월,.239,878,763,110,182,38,3,11,259,101,16,6,98,8,4,209,18,6,3,.330,.339,.670
803,9,SSG,21개,4월,.236,885,768,103,181,26,0,24,279,96,17,7,89,17,1,177,9,3,8,.325,.363,.689
804,10,LG,21개,4월,.228,870,744,86,170,34,2,20,268,83,17,6,103,11,3,146,16,5,7,.328,.360,.689
805,1,NC,21개,5월,.285,950,813,142,232,42,1,34,378,134,17,6,103,13,1,155,18,13,8,.371,.465,.836
806,2,키움,21개,5월,.285,940,796,148,227,45,5,20,342,139,19,5,111,17,2,174,15,3,13,.379,.430,.809
